geo,time,na_item,values
DE,2013-01-01,GCapitalForm,119367.3
DE,2013-04-01,GCapitalForm,127627.2
DE,2013-07-01,GCapitalForm,128569
DE,2013-10-01,GCapitalForm,125870.9
DE,2014-01-01,GCapitalForm,131020
DE,2014-04-01,GCapitalForm,131962
DE,2014-07-01,GCapitalForm,127430
DE,2014-10-01,GCapitalForm,128499.4
DE,2015-01-01,GCapitalForm,127137.4
DE,2015-04-01,GCapitalForm,124630.3
DE,2015-07-01,GCapitalForm,126539.3
DE,2015-10-01,GCapitalForm,129224.6
DE,2016-01-01,GCapitalForm,132731.9
DE,2016-04-01,GCapitalForm,129358.6
DE,2016-07-01,GCapitalForm,131344.4
DE,2016-10-01,GCapitalForm,135048.7
DE,2017-01-01,GCapitalForm,137620.3
DE,2017-04-01,GCapitalForm,142265.8
DE,2017-07-01,GCapitalForm,141693.1
DE,2017-10-01,GCapitalForm,144060.4
DE,2018-01-01,GCapitalForm,139389.4
DE,2018-04-01,GCapitalForm,144099
DE,2018-07-01,GCapitalForm,148337.5
DE,2018-10-01,GCapitalForm,150068.6
DE,2019-01-01,GCapitalForm,146148.2
DE,2019-04-01,GCapitalForm,147140.8
DE,2019-07-01,GCapitalForm,142432.1
DE,2019-10-01,GCapitalForm,146924.5
DE,2020-01-01,GCapitalForm,148985.7
DE,2020-04-01,GCapitalForm,140114.7
DE,2020-07-01,GCapitalForm,133598.4
DE,2020-10-01,GCapitalForm,138472.9
DE,2021-01-01,GCapitalForm,151115.7
DE,2021-04-01,GCapitalForm,150797.5
DE,2021-07-01,GCapitalForm,139952.6
DE,2021-10-01,GCapitalForm,141441.8
DE,2022-01-01,GCapitalForm,149024.8
DE,2022-04-01,GCapitalForm,151239.9
DE,2022-07-01,GCapitalForm,152945.8
DE,2022-10-01,GCapitalForm,150272.4
DE,2023-01-01,GCapitalForm,150857.9
DE,2023-04-01,GCapitalForm,152130.8
DE,2023-07-01,GCapitalForm,148783.2
DE,2023-10-01,GCapitalForm,141769.8
DE,2024-01-01,GCapitalForm,143386.3
DE,1991-01-01,FinConsExpHH,276649.4
DE,1991-04-01,FinConsExpHH,279225
